time_stamp,advertising_address,power_level
1697559926.999478,74:a0:83:fb:de:c3,12
1697559927.002496,74:a0:83:fb:de:c3,12
1697559927.002496,71:e7:a8:f6:32:3d,7
1697559927.009724,50:c5:40:32:85:d8,8
1697559927.01074,50:c5:40:32:85:d8,8
1697559927.01074,50:c5:40:32:85:d8,8
1697559927.041179,5f:be:24:61:e2:52,7
1697559927.043696,5f:be:24:61:e2:52,7
1697559927.04649,5f:be:24:61:e2:52,7
1697559927.052008,7f:ee:db:b6:27:b6,12
1697559927.062915,7f:ee:db:b6:27:b6,12
1697559927.065868,7f:ee:db:b6:27:b6,12
1697559927.095963,43:40:9d:b7:43:28,8
1697559927.099425,43:40:9d:b7:43:28,8
1697559927.141361,77:08:c1:87:ac:9a,8
1697559927.149701,65:02:2d:d2:42:00,8
1697559927.149701,65:02:2d:d2:42:00,8
1697559927.157737,65:02:2d:d2:42:00,8
1697559927.159764,7e:5a:6c:04:19:16,7
1697559927.162564,7e:5a:6c:04:19:16,7
1697559927.165964,7e:5a:6c:04:19:16,7
1697559927.175707,6a:b4:99:8f:3c:7b,3
1697559927.21567,80:e1:26:12:25:61,0
1697559927.217964,80:e1:26:12:25:61,0
1697559927.221611,80:e1:26:12:25:61,0
1697559927.235084,5e:47:50:19:51:66,4
1697559927.23628,5e:47:50:19:51:66,4
1697559927.23628,4a:17:d5:d3:2c:31,8
1697559927.287858,72:0a:f0:cf:c8:5c,8
1697559927.291515,72:0a:f0:cf:c8:5c,8
1697559927.295152,72:0a:f0:cf:c8:5c,8
1697559927.308321,4b:21:9f:41:5b:82,12
1697559927.308321,4b:21:9f:41:5b:82,12
1697559927.315119,72:43:e4:91:6c:8d,8
1697559927.316664,72:43:e4:91:6c:8d,8
1697559927.316664,72:43:e4:91:6c:8d,8
1697559927.356217,70:ec:b9:0c:e9:d0,7
1697559927.35757,70:ec:b9:0c:e9:d0,7
1697559927.359025,70:ec:b9:0c:e9:d0,7
1697559927.359025,71:e7:a8:f6:32:3d,7
1697559927.359025,71:e7:a8:f6:32:3d,7
1697559927.364547,71:e7:a8:f6:32:3d,7
1697559927.371692,74:a0:83:fb:de:c3,12
1697559927.371692,74:a0:83:fb:de:c3,12
1697559927.371692,50:c5:40:32:85:d8,8
1697559927.380007,5f:be:24:61:e2:52,7
1697559927.380007,5f:be:24:61:e2:52,7
1697559927.388023,68:a6:c5:bc:71:83,7
1697559927.388023,68:a6:c5:bc:71:83,7
1697559927.395359,43:40:9d:b7:43:28,8
1697559927.396371,43:40:9d:b7:43:28,8
1697559927.400013,43:40:9d:b7:43:28,8
1697559927.416976,80:e1:26:12:25:61,0
1697559927.418578,80:e1:26:12:25:61,0
1697559927.455283,65:02:2d:d2:42:00,8
1697559927.455283,65:02:2d:d2:42:00,8
1697559927.466401,7e:5a:6c:04:19:16,7
1697559927.480186,6a:b4:99:8f:3c:7b,3
1697559927.480186,6a:b4:99:8f:3c:7b,3
1697559927.486201,49:21:ed:b9:34:f7,5
1697559927.486201,6a:7c:a6:91:79:f5,8
1697559927.498158,5e:47:50:19:51:66,4
1697559927.507429,4a:17:d5:d3:2c:31,8
1697559927.511798,4a:17:d5:d3:2c:31,8
1697559927.513427,4a:17:d5:d3:2c:31,8
1697559927.518448,80:e1:26:12:25:61,0
1697559927.528285,80:e1:26:12:25:61,0
1697559927.541846,72:0a:f0:cf:c8:5c,8
1697559927.542895,72:0a:f0:cf:c8:5c,8
1697559927.542895,72:0a:f0:cf:c8:5c,8
1697559927.55956,7f:f4:e4:2c:f6:a4,6
1697559927.561797,7f:f4:e4:2c:f6:a4,6
1697559927.564218,72:43:e4:91:6c:8d,8
1697559927.56586,72:43:e4:91:6c:8d,8
1697559927.582191,7a:56:92:d9:93:ef,7
1697559927.586774,7a:56:92:d9:93:ef,7
1697559927.58968,7a:56:92:d9:93:ef,7
1697559927.601063,70:ec:b9:0c:e9:d0,7
1697559927.622662,74:a0:83:fb:de:c3,12
1697559927.622662,71:e7:a8:f6:32:3d,7
1697559927.622662,71:e7:a8:f6:32:3d,7
1697559927.627098,71:e7:a8:f6:32:3d,7
1697559927.627098,50:c5:40:32:85:d8,8
1697559927.630215,50:c5:40:32:85:d8,8
1697559927.630215,50:c5:40:32:85:d8,8
1697559927.636964,5f:be:24:61:e2:52,7
1697559927.639813,5f:be:24:61:e2:52,7
1697559927.641309,5f:be:24:61:e2:52,7
1697559927.647152,68:a6:c5:bc:71:83,7
1697559927.647152,68:a6:c5:bc:71:83,7
1697559927.65001,68:a6:c5:bc:71:83,7
1697559927.651031,43:40:9d:b7:43:28,8
1697559927.65205,43:40:9d:b7:43:28,8
1697559927.65205,43:40:9d:b7:43:28,8
1697559927.695329,65:02:2d:d2:42:00,8
1697559927.695329,65:02:2d:d2:42:00,8
1697559927.700846,65:02:2d:d2:42:00,8
1697559927.717278,7e:5a:6c:04:19:16,7
1697559927.719617,7e:5a:6c:04:19:16,7
1697559927.735151,49:21:ed:b9:34:f7,5
1697559927.737872,6a:b4:99:8f:3c:7b,3
1697559927.745488,6a:7c:a6:91:79:f5,8
1697559927.749625,5e:47:50:19:51:66,4
1697559927.75088,5e:47:50:19:51:66,4
1697559927.75088,4a:17:d5:d3:2c:31,8
1697559927.754753,5c:cc:3a:bb:44:6a,9
1697559927.756527,7d:25:86:aa:b4:c9,5
1697559927.759156,60:b3:7b:98:1e:06,7
1697559927.767434,80:e1:26:12:25:61,0
1697559927.767434,80:e1:26:12:25:61,0
1697559927.782002,7f:f4:e4:2c:f6:a4,6
