time_stamp,advertising_address
1707957699.8697996,50:4d:4e:fc:32:83
1707957699.8931813,50:4d:4e:fc:32:83
1707957699.8938375,e8:de:fb:11:dc:b8
1707957699.9250867,50:4d:4e:fc:32:83
1707957699.952587,ce:da:fe:e9:a6:9e
1707957700.0546951,50:4d:4e:fc:32:83
1707957700.1547434,50:4d:4e:fc:32:83
1707957700.2070057,50:4d:4e:fc:32:83
1707957700.2550046,50:4d:4e:fc:32:83
1707957700.3512444,50:4d:4e:fc:32:83
1707957700.3795865,50:4d:4e:fc:32:83
1707957700.4218595,50:4d:4e:fc:32:83
1707957700.4462075,50:4d:4e:fc:32:83
1707957700.4663515,50:4d:4e:fc:32:83
1707957700.5125892,50:4d:4e:fc:32:83
1707957700.5175886,ce:da:fe:e9:a6:9e
1707957700.518839,e8:de:fb:11:dc:b8
1707957700.5443912,5f:a8:0b:a0:94:29
1707957700.574779,50:4d:4e:fc:32:83
1707957700.5970616,5f:a8:0b:a0:94:29
1707957700.6000893,50:4d:4e:fc:32:83
1707957700.6038392,ce:da:fe:e9:a6:9e
1707957700.6062407,ef:21:ad:2c:3f:0b
1707957700.617536,5f:a8:0b:a0:94:29
1707957700.6507585,50:4d:4e:fc:32:83
1707957700.6783834,50:4d:4e:fc:32:83
1707957700.7163396,50:4d:4e:fc:32:83
1707957700.7213397,ce:da:fe:e9:a6:9e
1707957700.7383847,50:4d:4e:fc:32:83
1707957700.77634,50:4d:4e:fc:32:83
1707957700.7813396,ce:da:fe:e9:a6:9e
1707957700.7825904,5f:a8:0b:a0:94:29
1707957700.7888403,e8:de:fb:11:dc:b8
1707957700.8136504,5f:a8:0b:a0:94:29
1707957700.826104,50:4d:4e:fc:32:83
1707957700.8381462,5f:a8:0b:a0:94:29
1707957700.853837,50:4d:4e:fc:32:83
1707957700.8957682,5f:a8:0b:a0:94:29
1707957700.9083593,50:4d:4e:fc:32:83
1707957700.9210744,5f:a8:0b:a0:94:29
1707957700.95389,50:4d:4e:fc:32:83
1707957700.9675906,5f:a8:0b:a0:94:29
1707957700.9725904,e8:de:fb:11:dc:b8
1707957700.9935715,50:4d:4e:fc:32:83
1707957700.9963405,5f:a8:0b:a0:94:29
1707957701.0013406,e8:de:fb:11:dc:b8
1707957701.0081728,50:4d:4e:fc:32:83
1707957701.0185134,5f:a8:0b:a0:94:29
1707957701.0360734,50:4d:4e:fc:32:83
1707957701.0423787,5f:a8:0b:a0:94:29
1707957701.0674615,5f:a8:0b:a0:94:29
1707957701.0906794,5f:a8:0b:a0:94:29
1707957701.1073933,50:4d:4e:fc:32:83
1707957701.1225958,50:4d:4e:fc:32:83
1707957701.1383867,5f:a8:0b:a0:94:29
1707957701.1500258,50:4d:4e:fc:32:83
1707957701.1620338,5f:a8:0b:a0:94:29
1707957701.1773424,50:4d:4e:fc:32:83
1707957701.2059302,50:4d:4e:fc:32:83
1707957701.2188356,5f:a8:0b:a0:94:29
1707957701.2219403,50:4d:4e:fc:32:83
1707957701.2475338,5f:a8:0b:a0:94:29
1707957701.2813418,5f:a8:0b:a0:94:29
1707957701.2863417,e8:de:fb:11:dc:b8
1707957701.2955818,50:4d:4e:fc:32:83
1707957701.3246765,50:4d:4e:fc:32:83
1707957701.3368518,5f:a8:0b:a0:94:29
1707957701.352613,50:4d:4e:fc:32:83
1707957701.36509,5f:a8:0b:a0:94:29
1707957701.3863506,5f:a8:0b:a0:94:29
1707957701.4072702,50:4d:4e:fc:32:83
1707957701.4086192,5f:a8:0b:a0:94:29
1707957701.4295628,5f:a8:0b:a0:94:29
1707957701.4534566,5f:a8:0b:a0:94:29
1707957701.4618783,50:4d:4e:fc:32:83
1707957701.4895935,50:4d:4e:fc:32:83
1707957701.4950924,5f:a8:0b:a0:94:29
1707957701.500092,e8:de:fb:11:dc:b8
1707957701.5048704,50:4d:4e:fc:32:83
1707957701.5320134,50:4d:4e:fc:32:83
1707957701.5607083,50:4d:4e:fc:32:83
1707957701.5672023,5f:a8:0b:a0:94:29
1707957701.5881848,50:4d:4e:fc:32:83
1707957701.6113112,5f:a8:0b:a0:94:29
1707957701.6321976,50:4d:4e:fc:32:83
1707957701.6550932,5f:a8:0b:a0:94:29
1707957701.673843,ce:da:fe:e9:a6:9e
1707957701.677593,50:4d:4e:fc:32:83
1707957701.683689,5f:a8:0b:a0:94:29
1707957701.7174122,50:4d:4e:fc:32:83
1707957701.7435653,50:4d:4e:fc:32:83
1707957701.7608993,5f:a8:0b:a0:94:29
1707957701.7825935,5f:a8:0b:a0:94:29
1707957701.7875934,50:4d:4e:fc:32:83
1707957701.7888434,e8:de:fb:11:dc:b8
1707957701.7925932,ce:da:fe:e9:a6:9e
1707957701.8208857,50:4d:4e:fc:32:83
1707957701.8608255,5f:a8:0b:a0:94:29
1707957701.8896694,5f:a8:0b:a0:94:29
1707957701.9018826,5f:a8:0b:a0:94:29
1707957701.927404,50:4d:4e:fc:32:83
1707957701.9299037,5f:a8:0b:a0:94:29
1707957701.954637,50:4d:4e:fc:32:83
1707957701.9773903,5f:a8:0b:a0:94:29
1707957701.981325,50:4d:4e:fc:32:83
1707957702.0013683,50:4d:4e:fc:32:83
1707957702.0050936,5f:a8:0b:a0:94:29
1707957702.011344,e8:de:fb:11:dc:b8
1707957702.0333025,5f:a8:0b:a0:94:29
1707957702.0536995,5f:a8:0b:a0:94:29
1707957702.054356,50:4d:4e:fc:32:83
1707957702.0807464,50:4d:4e:fc:32:83
1707957702.0820777,5f:a8:0b:a0:94:29
1707957702.1124122,5f:a8:0b:a0:94:29
1707957702.1311908,5f:a8:0b:a0:94:29
1707957702.1385357,50:4d:4e:fc:32:83
1707957702.152335,5f:a8:0b:a0:94:29
1707957702.1647274,50:4d:4e:fc:32:83
1707957702.1770709,5f:a8:0b:a0:94:29
1707957702.1911948,50:4d:4e:fc:32:83
1707957702.201102,5f:a8:0b:a0:94:29
1707957702.206256,50:4d:4e:fc:32:83
1707957702.2233436,5f:a8:0b:a0:94:29
1707957702.2347329,50:4d:4e:fc:32:83
1707957702.250791,5f:a8:0b:a0:94:29
1707957702.2612798,50:4d:4e:fc:32:83
1707957702.2885523,50:4d:4e:fc:32:83
1707957702.2972517,5f:a8:0b:a0:94:29
1707957702.315093,50:4d:4e:fc:32:83
1707957702.3471508,5f:a8:0b:a0:94:29
1707957702.3606875,50:4d:4e:fc:32:83
1707957702.3871036,50:4d:4e:fc:32:83
1707957702.4134984,50:4d:4e:fc:32:83
1707957702.4262671,5f:a8:0b:a0:94:29
1707957702.4457958,50:4d:4e:fc:32:83
1707957702.478109,50:4d:4e:fc:32:83
1707957702.480014,5f:a8:0b:a0:94:29
1707957702.5046232,50:4d:4e:fc:32:83
1707957702.536374,5f:a8:0b:a0:94:29
1707957702.5569391,50:4d:4e:fc:32:83
1707957702.6133885,ef:21:ad:2c:3f:0b
1707957702.6171784,5f:a8:0b:a0:94:29
1707957702.6259892,50:4d:4e:fc:32:83
1707957702.6393526,5f:a8:0b:a0:94:29
1707957702.6521926,50:4d:4e:fc:32:83
1707957702.6685526,50:4d:4e:fc:32:83
1707957702.6948237,50:4d:4e:fc:32:83
1707957702.6973443,5f:a8:0b:a0:94:29
1707957702.7436714,5f:a8:0b:a0:94:29
1707957702.7473278,50:4d:4e:fc:32:83
1707957702.7775965,c8:de:fb:31:dc:b8
1707957702.7813466,5f:a8:0b:21:91:29
1707957702.7921808,5f:a8:0b:a0:94:29
1707957702.7983835,50:4d:4e:fc:32:83
1707957702.8174124,5f:a8:0b:a0:94:29
1707957702.8246229,50:4d:4e:fc:32:83
1707957702.864709,5f:a8:0b:a0:94:29
1707957702.8950965,5f:a8:0b:a0:94:29
1707957702.901347,e8:de:fb:11:dc:b8
1707957702.9321423,50:4d:4e:fc:32:83
1707957702.9483202,50:4d:4e:fc:32:83
1707957703.001894,5f:a8:0b:a0:94:29
1707957703.0024276,50:4d:4e:fc:32:83
1707957703.068716,5f:a8:0b:a0:94:29
1707957703.0809238,50:4d:4e:fc:32:83
1707957703.0938168,5f:a8:0b:a0:94:29
1707957703.1138532,50:4d:4e:fc:32:83
1707957703.136204,5f:a8:0b:a0:94:29
1707957703.141204,e8:de:fb:11:dc:b8
1707957703.148848,50:4d:4e:fc:32:83
1707957703.1525981,ce:da:fe:e9:a6:9e
1707957703.1807504,50:4d:4e:fc:32:83
1707957703.18749,5f:a8:0b:a0:94:29
1707957703.2071183,50:4d:4e:fc:32:83
1707957703.2313478,5f:a8:0b:a0:94:29
1707957703.2375982,e8:de:fb:11:dc:b8
1707957703.2546792,5f:a8:0b:a0:94:29
1707957703.275925,5f:a8:0b:a0:94:29
1707957703.3050416,50:4d:4e:fc:32:83
1707957703.3356414,5f:a8:0b:a0:94:29
1707957703.3450987,50:4d:4e:fc:32:83
1707957703.3488486,ce:da:fe:e9:a6:9e
1707957703.3660119,50:4d:4e:fc:32:83
1707957703.4012923,5f:a8:0b:a0:94:29
1707957703.403862,50:4d:4e:fc:32:83
1707957703.4186358,50:4d:4e:fc:32:83
1707957703.423196,5f:a8:0b:a0:94:29
1707957703.4470024,5f:a8:0b:a0:94:29
1707957703.4987702,5f:a8:0b:a0:94:29
1707957703.5107825,50:4d:4e:fc:32:83
1707957703.5369914,50:4d:4e:fc:32:83
1707957703.5594845,50:4d:4e:fc:32:83
1707957703.5650997,5f:a8:0b:a0:94:29
1707957703.6698046,5f:a8:0b:a0:94:29
