time_stamp,advertising_address
1707958460.9771717,ef:21:ad:2c:3f:0b
1707958461.2819772,cf:31:4c:b9:74:a0
1707958462.9817,ef:21:ad:2c:3f:0b
1707958464.9857311,ef:21:ad:2c:3f:0b
1707958466.9888039,ef:21:ad:2c:3f:0b
1707958468.9908032,ef:21:ad:2c:3f:0b
1707958470.9932826,ef:21:ad:2c:3f:0b
1707958473.0027065,ef:21:ad:2c:3f:0b
1707958475.00605,ef:21:ad:2c:3f:0b
1707958479.011601,ef:21:ad:2c:3f:0b
1707958481.0192645,ef:21:ad:2c:3f:0b
1707958483.0212317,ef:21:ad:2c:3f:0b
1707958485.0247507,ef:21:ad:2c:3f:0b
1707958487.0308945,ef:21:ad:2c:3f:0b
1707958488.7229571,48:a7:44:21:14:ff
1707958489.0323813,ef:21:ad:2c:3f:0b
1707958491.0352125,ef:21:ad:2c:3f:0b
1707958493.044156,ef:21:ad:2c:3f:0b
1707958495.0474498,ef:21:ad:2c:3f:0b
1707958497.0535614,ef:21:ad:2c:3f:0b
1707958499.0555928,ef:21:ad:2c:3f:0b
1707958501.0614474,ef:21:ad:2c:3f:0b
1707958501.360068,95:06:52:63:09:69
1707958503.0619588,ef:21:ad:2c:3f:0b
1707958507.0775723,ef:21:ad:2c:3f:0b
1707958509.0857804,ef:21:ad:2c:3f:0b
1707958511.0904033,ef:21:ad:2c:3f:0b
1707958513.0939546,ef:21:ad:2c:3f:0b
1707958515.0957606,ef:21:ad:2c:3f:0b
1707958517.099343,ef:21:ad:2c:3f:0b
1707958519.1020954,ef:21:ad:2c:3f:0b
1707958521.1074858,ef:21:ad:2c:3f:0b
1707958523.1115644,ef:21:ad:2c:3f:0b
1707958525.116347,ef:21:ad:2c:3f:0b
1707958527.1237695,ef:21:ad:2c:3f:0b
1707958529.1286175,ef:21:ad:2c:3f:0b
1707958531.1313992,ef:21:ad:2c:3f:0b
1707958533.134903,ef:21:ad:2c:3f:0b
1707958535.1379251,ef:21:ad:2c:3f:0b
1707958537.1445165,ef:21:ad:2c:3f:0b
1707958539.1519547,ef:21:ad:2c:3f:0b
1707958541.1614416,ef:21:ad:2c:3f:0b
1707958543.169345,ef:21:ad:2c:3f:0b
1707958545.1713119,ef:21:ad:2c:3f:0b
1707958547.1717744,ef:21:ad:2c:3f:0b
1707958549.1783812,ef:21:ad:2c:3f:0b
1707958551.1878045,ef:21:ad:2c:3f:0b
1707958553.19729,ef:21:ad:2c:3f:0b
1707958555.2011297,ef:21:ad:2c:3f:0b
1707958557.2090797,ef:21:ad:2c:3f:0b
1707958559.2129352,ef:21:ad:2c:3f:0b
1707958561.2221508,ef:21:ad:2c:3f:0b
1707958563.2238777,ef:21:ad:2c:3f:0b
1707958565.2243233,ef:21:ad:2c:3f:0b
1707958569.2349768,ef:21:ad:2c:3f:0b
1707958571.2421606,ef:21:ad:2c:3f:0b
1707958573.2493117,ef:21:ad:2c:3f:0b
1707958575.2502851,ef:21:ad:2c:3f:0b
1707958579.2586992,ef:21:ad:2c:3f:0b
1707958581.2663624,ef:21:ad:2c:3f:0b
1707958581.2672162,ef:21:ad:2c:3f:0b
1707958583.2693698,ef:21:ad:2c:3f:0b
1707958585.2755275,ef:21:ad:2c:3f:0b
1707958587.2854793,ef:21:ad:2c:3f:0b
1707958589.285718,ef:21:ad:2c:3f:0b
1707958591.2898285,ef:21:ad:2c:3f:0b
1707958593.296499,ef:21:ad:2c:3f:0b
1707958595.2988188,ef:21:ad:2c:3f:0b
1707958597.3085294,ef:21:ad:2c:3f:0b
1707958599.312304,ef:21:ad:2c:3f:0b
1707958601.3201745,ef:21:ad:2c:3f:0b
