time_stamp,advertising_address
1707960022.8776255,47:7c:87:d6:4a:ec
1707960022.9026256,47:7c:87:d6:4a:ec
1707960022.9288754,47:7c:87:d6:4a:ec
1707960022.9563758,47:7c:87:d6:4a:ec
1707960022.982626,47:7c:87:d6:4a:ec
1707960023.0038762,47:7c:87:d6:4a:ec
1707960023.0313766,47:7c:87:d6:4a:ec
1707960023.0551264,47:7c:87:d6:4a:ec
1707960023.0813768,47:7c:87:d6:4a:ec
1707960023.108877,47:7c:87:d6:4a:ec
1707960023.130127,47:7c:87:d6:4a:ec
1707960023.1588771,47:7c:87:d6:4a:ec
1707960023.2151272,47:7c:87:d6:4a:ec
1707960023.2376273,47:7c:87:d6:4a:ec
1707960023.2663777,47:7c:87:d6:4a:ec
1707960023.317628,47:7c:87:d6:4a:ec
1707960023.3401282,47:7c:87:d6:4a:ec
1707960023.366378,47:7c:87:d6:4a:ec
1707960023.3876283,47:7c:87:d6:4a:ec
1707960023.4338784,47:7c:87:d6:4a:ec
1707960023.4576285,47:7c:87:d6:4a:ec
1707960023.480129,47:7c:87:d6:4a:ec
1707960023.5076287,47:7c:87:d6:4a:ec
1707960023.530129,47:7c:87:d6:4a:ec
1707960023.5538795,47:7c:87:d6:4a:ec
1707960023.6088793,47:7c:87:d6:4a:ec
1707960023.6363797,47:7c:87:d6:4a:ec
1707960023.65763,47:7c:87:d6:4a:ec
1707960023.67888,47:7c:87:d6:4a:ec
1707960023.69888,47:7c:87:d6:4a:ec
1707960023.72638,47:7c:87:d6:4a:ec
1707960023.75388,47:7c:87:d6:4a:ec
1707960023.7738802,47:7c:87:d6:4a:ec
1707960023.7988806,47:7c:87:d6:4a:ec
1707960023.8513808,47:7c:87:d6:4a:ec
1707960023.8763812,47:7c:87:d6:4a:ec
1707960023.8988812,47:7c:87:d6:4a:ec
1707960023.9201312,47:7c:87:d6:4a:ec
1707960023.9476314,47:7c:87:d6:4a:ec
1707960023.9763815,47:7c:87:d6:4a:ec
1707960024.022632,47:7c:87:d6:4a:ec
1707960024.0426319,47:7c:87:d6:4a:ec
1707960024.065132,47:7c:87:d6:4a:ec
1707960024.0876322,47:7c:87:d6:4a:ec
1707960024.1088822,47:7c:87:d6:4a:ec
1707960024.1563826,47:7c:87:d6:4a:ec
1707960024.1763825,47:7c:87:d6:4a:ec
1707960024.1988826,47:7c:87:d6:4a:ec
1707960024.2188828,47:7c:87:d6:4a:ec
1707960024.2426326,47:7c:87:d6:4a:ec
1707960024.265133,47:7c:87:d6:4a:ec
1707960024.2863834,47:7c:87:d6:4a:ec
1707960024.3088832,47:7c:87:d6:4a:ec
1707960024.3338833,47:7c:87:d6:4a:ec
1707960024.3588839,47:7c:87:d6:4a:ec
1707960024.4038835,47:7c:87:d6:4a:ec
1707960024.4263842,47:7c:87:d6:4a:ec
1707960024.4538841,47:7c:87:d6:4a:ec
1707960024.4813843,47:7c:87:d6:4a:ec
1707960024.5026343,47:7c:87:d6:4a:ec
1707960024.5226345,47:7c:87:d6:4a:ec
1707960024.5463846,47:7c:87:d6:4a:ec
1707960024.5676346,47:7c:87:d6:4a:ec
1707960024.616385,47:7c:87:d6:4a:ec
1707960024.638885,47:7c:87:d6:4a:ec
1707960024.6638854,47:7c:87:d6:4a:ec
1707960024.6876352,47:7c:87:d6:4a:ec
1707960024.7076354,47:7c:87:d6:4a:ec
1707960024.7363853,47:7c:87:d6:4a:ec
1707960024.7588856,47:7c:87:d6:4a:ec
1707960024.7801359,47:7c:87:d6:4a:ec
