time_stamp,advertising_address
1707961104.8420527,8a:66:d1:3c:51:15
1707961109.466768,7e:17:df:6c:ae:68
1707961109.493018,7e:17:df:6c:ae:68
1707961109.519268,7e:17:df:6c:ae:68
1707961109.5467687,7e:17:df:6c:ae:68
1707961109.5730186,7e:17:df:6c:ae:68
1707961109.5942688,7e:17:df:6c:ae:68
1707961109.621769,7e:17:df:6c:ae:68
1707961109.6455193,7e:17:df:6c:ae:68
1707961109.6717694,7e:17:df:6c:ae:68
1707961109.699269,7e:17:df:6c:ae:68
1707961109.7205193,7e:17:df:6c:ae:68
1707961109.7492692,7e:17:df:6c:ae:68
1707961109.77802,7e:17:df:6c:ae:68
1707961109.80552,7e:17:df:6c:ae:68
1707961109.8567705,7e:17:df:6c:ae:68
1707961109.9080205,7e:17:df:6c:ae:68
1707961109.9305205,7e:17:df:6c:ae:68
1707961109.9567707,7e:17:df:6c:ae:68
1707961109.978021,7e:17:df:6c:ae:68
1707961110.0030208,7e:17:df:6c:ae:68
1707961110.0242712,7e:17:df:6c:ae:68
1707961110.0480213,7e:17:df:6c:ae:68
1707961110.070521,7e:17:df:6c:ae:68
1707961110.0980217,7e:17:df:6c:ae:68
1707961110.1205215,7e:17:df:6c:ae:68
1707961110.1442719,7e:17:df:6c:ae:68
1707961110.1705222,7e:17:df:6c:ae:68
1707961110.1992722,7e:17:df:6c:ae:68
1707961110.226772,7e:17:df:6c:ae:68
1707961110.248022,7e:17:df:6c:ae:68
1707961110.2692726,7e:17:df:6c:ae:68
1707961110.2892728,7e:17:df:6c:ae:68
1707961110.3442726,7e:17:df:6c:ae:68
1707961110.3642728,7e:17:df:6c:ae:68
1707961110.3892732,7e:17:df:6c:ae:68
1707961110.4155235,7e:17:df:6c:ae:68
1707961110.4417734,7e:17:df:6c:ae:68
1707961110.4892738,7e:17:df:6c:ae:68
1707961110.5105238,7e:17:df:6c:ae:68
1707961110.5380237,7e:17:df:6c:ae:68
1707961110.5667741,7e:17:df:6c:ae:68
1707961110.5880241,7e:17:df:6c:ae:68
1707961110.6130245,7e:17:df:6c:ae:68
